nodenumber,txnumber,savebroadcast,redundancy,packetreceived,broadcastlatency,energyconsumption,reachability,contention,collision
50,17,0.66,0.34,2.56,6,0.130719,0.94,5,2
75,31,0.586667,0.413333,5.18667,7,0.376774,0.626667,33,9
100,29,0.71,0.29,4.65,7,0.437815,0.67,28,9
125,31,0.752,0.248,4.928,7,0.575434,0.736,33,16
150,32,0.786667,0.213333,4.98,7,0.688419,0.753333,31,13
175,32,0.817143,0.182857,5.35429,6,0.853686,0.674286,37,19
200,41,0.795,0.205,7.255,6,1.30949,0.605,72,37
225,41,0.817778,0.182222,6.80444,7,1.37986,0.586667,65,38
250,39,0.844,0.156,6.5,6,1.45754,0.644,64,40
nodenumber,txnumber,savebroadcast,redundancy,packetreceived,broadcastlatency,energyconsumption,reachability,contention,collision
50,17,0.66,0.34,2.5,6,0.128192,0.94,5,2
75,31,0.586667,0.413333,4.94667,7,0.364565,0.693333,26,13
100,34,0.66,0.34,5.39,7,0.505805,0.6,38,14
125,30,0.76,0.24,4.832,7,0.561977,0.712,35,13
150,34,0.773333,0.226667,5.34,7,0.739872,0.68,40,15
175,32,0.817143,0.182857,5.22857,7,0.827015,0.737143,36,26
200,36,0.82,0.18,6.185,7,1.11097,0.655,52,37
225,36,0.84,0.16,5.89333,7,1.183,0.608889,43,36
250,39,0.844,0.156,6.352,7,1.41232,0.564,51,36
